CustomerID,CustomerName,OrderID
1,Alfreds Futterkiste,null
2,Ana Trujillo Emparedados y helados,10308
3,Antonio Moreno Taquer’a,10365
4,Around the Horn,10355
4,Around the Horn,10383
5,Berglunds snabbk_p,10278
5,Berglunds snabbk_p,10280
5,Berglunds snabbk_p,10384
6,Blauer See Delikatessen,null
7,Blondel père et fils,10265
7,Blondel père et fils,10297
7,Blondel père et fils,10360
7,Blondel père et fils,10436
8,B—lido Comidas preparadas,10326
9,Bon app',10331
9,Bon app',10340
9,Bon app',10362
10,Bottom-Dollar Marketse,10389
10,Bottom-Dollar Marketse,10410
10,Bottom-Dollar Marketse,10411
10,Bottom-Dollar Marketse,10431
11,B's Beverages,10289
12,Cactus Comidas para llevar,null
13,Centro comercial Moctezuma,10259
14,Chop-suey Chinese,10254
14,Chop-suey Chinese,10370
15,Com_rcio Mineiro,10290
16,Consolidated Holdings,10435
17,Drachenblut Delikatessend,10363
17,Drachenblut Delikatessend,10391
18,Du monde entier,10311
19,Eastern Connection,10364
19,Eastern Connection,10400
20,Ernst Handel,10258
20,Ernst Handel,10263
20,Ernst Handel,10351
20,Ernst Handel,10368
20,Ernst Handel,10382
20,Ernst Handel,10390
20,Ernst Handel,10402
20,Ernst Handel,10403
20,Ernst Handel,10430
20,Ernst Handel,10442
21,Familia Arquibaldo,10347
21,Familia Arquibaldo,10386
21,Familia Arquibaldo,10414
22,FISSA Fabrica Inter. Salchichas S.A.,null
23,Folies gourmandes,10408
24,Folk och f_ HB,10264
24,Folk och f_ HB,10327
24,Folk och f_ HB,10378
24,Folk och f_ HB,10434
25,Frankenversand,10267
25,Frankenversand,10337
25,Frankenversand,10342
25,Frankenversand,10396
26,France restauration,null
27,Franchi S.p.A.,10422
28,Furia Bacalhau e Frutos do Mar,10328
28,Furia Bacalhau e Frutos do Mar,10352
29,Galer’a del gastr—nomo,10366
29,Galer’a del gastr—nomo,10426
30,Godos Cocina T’pica,10303
31,Gourmet Lanchonetes,10423
32,Great Lakes Food Market,null
33,GROSELLA-Restaurante,10268
34,Hanari Carnes,10250
34,Hanari Carnes,10253
35,HILARIîN-Abastos,10257
35,HILARIîN-Abastos,10395
36,Hungry Coyote Import Store,10375
36,Hungry Coyote Import Store,10394
36,Hungry Coyote Import Store,10415
37,Hungry Owl All-Night Grocers,10298
37,Hungry Owl All-Night Grocers,10309
37,Hungry Owl All-Night Grocers,10335
37,Hungry Owl All-Night Grocers,10373
37,Hungry Owl All-Night Grocers,10380
37,Hungry Owl All-Night Grocers,10429
38,Island Trading,10315
38,Island Trading,10318
38,Island Trading,10321
39,K_niglich Essen,10323
39,K_niglich Essen,10325
40,La corne d'abondance,null
41,La maison d'Asie,10350
41,La maison d'Asie,10358
41,La maison d'Asie,10371
41,La maison d'Asie,10413
41,La maison d'Asie,10425
42,Laughing Bacchus Wine Cellars,null
43,Lazy K Kountry Store,null
44,Lehmanns Marktstand,10279
44,Lehmanns Marktstand,10284
44,Lehmanns Marktstand,10343
45,Let's Stop N Shop,null
46,LILA-Supermercado,10283
46,LILA-Supermercado,10296
46,LILA-Supermercado,10330
46,LILA-Supermercado,10357
46,LILA-Supermercado,10381
47,LINO-Delicateses,10405
48,Lonesome Pine Restaurant,10307
48,Lonesome Pine Restaurant,10317
49,Magazzini Alimentari Riuniti,10275
49,Magazzini Alimentari Riuniti,10300
49,Magazzini Alimentari Riuniti,10404
50,Maison Dewey,null
51,Mère Paillarde,10332
51,Mère Paillarde,10339
51,Mère Paillarde,10376
51,Mère Paillarde,10424
51,Mère Paillarde,10439
52,Morgenstern Gesundkost,10277
53,North/South,null
54,Oc_ano Atl‡ntico Ltda.,10409
55,Old World Delicatessen,10260
55,Old World Delicatessen,10305
55,Old World Delicatessen,10338
55,Old World Delicatessen,10441
56,Ottilies K_seladen,10407
57,Paris sp_cialit_s,null
58,Pericles Comidas cl‡sicas,10322
58,Pericles Comidas cl‡sicas,10354
59,Piccolo und mehr,10353
59,Piccolo und mehr,10392
59,Piccolo und mehr,10427
60,Princesa Isabel Vinhoss,10336
60,Princesa Isabel Vinhoss,10397
60,Princesa Isabel Vinhoss,10433
61,Que Del’cia,10261
61,Que Del’cia,10291
61,Que Del’cia,10379
61,Que Del’cia,10421
62,Queen Cozinha,10372
62,Queen Cozinha,10406
63,QUICK-Stop,10273
63,QUICK-Stop,10285
63,QUICK-Stop,10286
63,QUICK-Stop,10313
63,QUICK-Stop,10345
63,QUICK-Stop,10361
63,QUICK-Stop,10418
64,Rancho grande,null
65,Rattlesnake Canyon Grocery,10262
65,Rattlesnake Canyon Grocery,10272
65,Rattlesnake Canyon Grocery,10294
65,Rattlesnake Canyon Grocery,10314
65,Rattlesnake Canyon Grocery,10316
65,Rattlesnake Canyon Grocery,10346
65,Rattlesnake Canyon Grocery,10401
66,Reggiani Caseifici,10288
66,Reggiani Caseifici,10428
66,Reggiani Caseifici,10443
67,Ricardo Adocicados,10287
67,Ricardo Adocicados,10299
68,Richter Supermarkt,10255
68,Richter Supermarkt,10419
69,Romero y tomillo,10281
69,Romero y tomillo,10282
69,Romero y tomillo,10306
70,Sant_ Gourmet,10387
71,Save-a-lot Markets,10324
71,Save-a-lot Markets,10393
71,Save-a-lot Markets,10398
71,Save-a-lot Markets,10440
72,Seven Seas Imports,10359
72,Seven Seas Imports,10377
72,Seven Seas Imports,10388
73,Simons bistro,10341
73,Simons bistro,10417
74,Sp_cialit_s du monde,null
75,Split Rail Beer & Ale,10271
75,Split Rail Beer & Ale,10329
75,Split Rail Beer & Ale,10349
75,Split Rail Beer & Ale,10369
75,Split Rail Beer & Ale,10385
75,Split Rail Beer & Ale,10432
76,Suprêmes d_lices,10252
76,Suprêmes d_lices,10302
77,The Big Cheese,10310
78,The Cracker Box,null
79,Toms Spezialit_ten,10438
80,Tortuga Restaurante,10276
80,Tortuga Restaurante,10293
80,Tortuga Restaurante,10304
80,Tortuga Restaurante,10319
81,Tradiç‹o Hipermercados,10249
81,Tradiç‹o Hipermercados,10292
82,Trail's Head Gourmet Provisioners,null
83,Vaffeljernet,10367
83,Vaffeljernet,10399
84,Victuailles en stock,10251
84,Victuailles en stock,10334
85,Vins et alcools Chevalier,10274
85,Vins et alcools Chevalier,10295
86,Die Wandernde Kuh,10301
86,Die Wandernde Kuh,10312
86,Die Wandernde Kuh,10348
86,Die Wandernde Kuh,10356
87,Wartian Herkku,10266
87,Wartian Herkku,10270
87,Wartian Herkku,10320
87,Wartian Herkku,10333
87,Wartian Herkku,10412
87,Wartian Herkku,10416
87,Wartian Herkku,10437
88,Wellington Importadora,10256
88,Wellington Importadora,10420
89,White Clover Markets,10269
89,White Clover Markets,10344
90,Wilman Kala,10248
91,Wolski,10374
